id,parent_id,slug,name,sort_order
39,35,men/accessories/bags,Bags,5
40,35,men/accessories/wallets-and-accessories,Wallets & Accessories,6
41,35,men/accessories/socks,Socks,7
42,35,men/accessories/ties-bow-ties-and-pocket-squares,"Ties, Bow Ties & Pocket Squares",8
43,35,men/accessories/fragrance,Fragrance,9
44,35,men/accessories/sunglasses-and-eyewear,Sunglasses & Eyewear,10
45,2,men/create-your-own,Create Your Own,5
46,45,men/create-your-own/clothing,Clothing,2
47,45,men/create-your-own/accessories,Accessories,3
48,45,men/create-your-own/custom-outerwear,Custom Outerwear,4
49,45,men/create-your-own/the-custom-polo-made-to-order,"The Custom Polo, Made to Order",5
50,2,men/our-brands,Our Brands,6
51,50,men/our-brands/polo-ralph-lauren,Polo Ralph Lauren,2
52,50,men/our-brands/purple-label,Purple Label,3
53,50,men/our-brands/double-rl,Double RL,4
54,50,men/our-brands/pink-pony,Pink Pony,5
55,50,men/our-brands/golf,Golf,6
56,2,men/sale,Sale,7
57,56,men/sale/all-mens-sale,All Men's Sale,2
58,56,men/sale/clothing,Clothing,3
59,56,men/sale/shoes,Shoes,4
60,56,men/sale/accessories,Accessories,5
61,56,men/sale/purple-label-enjoy-up-to-30-off,Purple Label: Enjoy Up to 30% Off,6
62,56,men/sale/double-rl-enjoy-up-to-30-off,Double RL: Enjoy Up to 30% Off,7
63,1,women,Women,2
64,63,women/whats-new,What's New,1
65,64,women/whats-new/new-arrivals,New Arrivals,2
66,64,women/whats-new/rlx,RLX,3
67,64,women/whats-new/natural-ease,Natural Ease,4
68,64,women/whats-new/polo-accessories-shop,Polo Accessories Shop,5
69,64,women/whats-new/polo-dress-shop,Polo Dress Shop,6
70,64,women/whats-new/collection-spring,Collection Spring,7
71,64,women/whats-new/welington-collection,Welington Collection,8
72,64,women/whats-new/team-usa-collection,Team USA Collection,9
73,64,women/whats-new/ralph-lauren-vintage,Ralph Lauren Vintage,10
74,64,women/whats-new/the-polo-bear-shop,The Polo Bear Shop,11
75,64,women/whats-new/pin-of-solidarity,Pin of Solidarity,12
76,63,women/clothing,Clothing,2
77,76,women/clothing/all-womens-clothing,All Women's Clothing,2
78,76,women/clothing/dresses-and-jumpsuits,Dresses & Jumpsuits,3
79,76,women/clothing/shirts-and-blouses,Shirts & Blouses,4
80,76,women/clothing/sweaters,Sweaters,5
81,76,women/clothing/polo-shirts,Polo Shirts,6
82,76,women/clothing/t-shirts,T-Shirts,7
83,76,women/clothing/sweatshirts-and-sweatpants,Sweatshirts & Sweatpants,8
84,76,women/clothing/jackets-and-blazers,Jackets & Blazers,9
85,76,women/clothing/outerwear-and-vests,Outerwear & Vests,10
86,76,women/clothing/pants,Pants,11
87,76,women/clothing/jeans,Jeans,12
88,76,women/clothing/skirts,Skirts,13
89,76,women/clothing/shorts,Shorts,14
90,76,women/clothing/activewear,Activewear,15
91,76,women/clothing/swimsuits-and-cover-ups,Swimsuits & Cover-Ups,16
92,76,women/clothing/sleepwear,Sleepwear,17
93,63,women/shoes,Shoes,3
94,93,women/shoes/all-womens-shoes,All Women's Shoes,2
95,93,women/shoes/sandals-and-wedges,Sandals & Wedges,3
96,93,women/shoes/flats-and-sneakers,Flats & Sneakers,4
97,93,women/shoes/heels-and-pumps,Heels & Pumps,5
98,93,women/shoes/boots,Boots,6
99,63,women/accessories,Accessories,4
100,99,women/accessories/all-womens-accessories,All Women's Accessories,2
101,99,women/accessories/handbags,Handbags,3
102,99,women/accessories/belts,Belts,4
103,99,women/accessories/hats-scarves-and-gloves,"Hats, Scarves & Gloves",5
104,99,women/accessories/jewelry,Jewelry,6
105,99,women/accessories/wallets-and-accessories,Wallets & Accessories,7
106,99,women/accessories/socks,Socks,8
107,99,women/accessories/sunglasses,Sunglasses,9
108,99,women/accessories/fragrance,Fragrance,10
109,63,women/create-your-own,Create Your Own,5
110,109,women/create-your-own/clothing,Clothing,2
111,109,women/create-your-own/accessories,Accessories,3
112,109,women/create-your-own/custom-outerwear,Custom Outerwear,4
113,109,women/create-your-own/the-custom-polo-made-to-order,"The Custom Polo, Made to Order",5
114,63,women/our-brands,Our Brands,6
115,114,women/our-brands/polo-ralph-lauren,Polo Ralph Lauren,2
116,114,women/our-brands/rlx,RLX,3
117,114,women/our-brands/collection,Collection,4
118,114,women/our-brands/double-rl,Double RL,5
119,114,women/our-brands/lauren,Lauren,6
120,114,women/our-brands/pink-pony,Pink Pony,7
121,114,women/our-brands/golf,Golf,8
122,63,women/sale,Sale,7
123,122,women/sale/all-womens-sale,All Women's Sale,2
124,122,women/sale/clothing,Clothing,3
125,122,women/sale/shoes,Shoes,4
126,122,women/sale/accessories,Accessories,5
127,122,women/sale/collection-enjoy-up-to-30-off,Collection: Enjoy Up to 30% Off,6
128,122,women/sale/double-rl-enjoy-up-to-30-off,Double RL: Enjoy Up to 30% Off,7
129,1,kids-and-baby,Kids & Baby,3
130,129,kids-and-baby/whats-new,What's New,1
131,130,kids-and-baby/whats-new/boys-new-arrivals,Boys: New Arrivals,2
132,130,kids-and-baby/whats-new/girls-new-arrivals,Girls: New Arrivals,3
133,130,kids-and-baby/whats-new/newborn-gifting,Newborn Gifting,4
134,130,kids-and-baby/whats-new/boys-new-originals,Boys: New Originals,5
135,130,kids-and-baby/whats-new/girls-new-originals,Girls: New Originals,6
136,130,kids-and-baby/whats-new/boys-wellness-club,Boys: Wellness Club,7
137,130,kids-and-baby/whats-new/girls-wellness-club,Girls: Wellness Club,8
138,130,kids-and-baby/whats-new/team-usa-collection,Team USA Collection,9
139,130,kids-and-baby/whats-new/boys-polo-sport,Boys: Polo Sport,10
140,130,kids-and-baby/whats-new/girls-polo-sport,Girls: Polo Sport,11
141,130,kids-and-baby/whats-new/girls-bold-neutrals,Girls: Bold Neutrals,12
142,130,kids-and-baby/whats-new/teen-shop,Teen Shop,13
143,130,kids-and-baby/whats-new/matching-family-style,Matching Family Style,14
144,130,kids-and-baby/whats-new/the-polo-bear-shop,The Polo Bear Shop,15
145,129,kids-and-baby/boys,Boys,2
146,145,kids-and-baby/boys/boys-sizes-2t-7,Boys (Sizes 2T–7),2
147,145,kids-and-baby/boys/boys-sizes-8-20,Boys (Sizes 8–20),3
148,145,kids-and-baby/boys/polo-shirts,Polo Shirts,4
149,145,kids-and-baby/boys/t-shirts-and-rugby-shirts,T-Shirts & Rugby Shirts,5
150,145,kids-and-baby/boys/sweatshirts-and-sweatpants,Sweatshirts & Sweatpants,6
151,145,kids-and-baby/boys/casual-shirts-and-dress-shirts,Casual Shirts & Dress Shirts,7
152,145,kids-and-baby/boys/shorts-and-swim-trunks,Shorts & Swim Trunks,8
153,145,kids-and-baby/boys/jeans-and-pants,Jeans & Pants,9
154,145,kids-and-baby/boys/jackets-coats-and-vests,"Jackets, Coats, & Vests",10
155,145,kids-and-baby/boys/sweaters,Sweaters,11
